               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.024578,            0.012254,           0.0026922,             0.97125,             0.96059,             0.98244,              0.8129,            0.015567,           0.0040495,          0.00030536,            0.005248,            0.005248,            0.005248
                  50,            0.024491,            0.012451,            0.002527,             0.96839,             0.95793,             0.98307,             0.81354,            0.015624,           0.0040435,          0.00027312,            0.005149,            0.005149,            0.005149
                  51,            0.024258,            0.012463,            0.002186,              0.9765,             0.95266,             0.98315,             0.81733,            0.015547,           0.0040177,          0.00026528,             0.00505,             0.00505,             0.00505
                  52,            0.024142,            0.012139,           0.0024475,             0.97501,             0.95718,             0.98309,             0.82015,             0.01547,           0.0039989,          0.00026222,            0.004951,            0.004951,            0.004951
                  53,            0.024035,            0.012188,           0.0021715,              0.9752,             0.95903,             0.98394,             0.82385,             0.01542,            0.003982,          0.00025572,            0.004852,            0.004852,            0.004852
                  54,            0.023924,            0.012026,           0.0020323,             0.97507,             0.96286,             0.98397,             0.82224,            0.015391,           0.0039758,          0.00025843,            0.004753,            0.004753,            0.004753
                  55,            0.023491,            0.012134,           0.0020701,             0.97738,             0.96069,              0.9839,             0.82401,            0.015259,           0.0039593,          0.00026477,            0.004654,            0.004654,            0.004654
                  56,            0.023332,            0.011967,           0.0019434,             0.97466,             0.96277,             0.98411,              0.8247,            0.015273,           0.0039561,           0.0002685,            0.004555,            0.004555,            0.004555
                  57,            0.023267,            0.011837,           0.0016051,             0.97512,              0.9606,             0.98445,             0.82672,            0.015201,           0.0039463,          0.00025991,            0.004456,            0.004456,            0.004456
                  58,            0.023268,            0.011795,           0.0018545,              0.9674,             0.96747,             0.98468,             0.82646,            0.015148,           0.0039343,          0.00025538,            0.004357,            0.004357,            0.004357
                  59,            0.022995,            0.011977,           0.0019609,             0.97065,             0.96552,             0.98458,             0.82696,            0.015107,           0.0039255,          0.00026304,            0.004258,            0.004258,            0.004258
                  60,            0.023412,            0.011798,           0.0021252,             0.96866,             0.96471,             0.98446,             0.82949,            0.015116,           0.0039179,          0.00026778,            0.004159,            0.004159,            0.004159
                  61,            0.022777,             0.01173,           0.0018305,             0.97229,             0.96063,             0.98489,             0.83124,            0.015077,           0.0039064,          0.00026479,             0.00406,             0.00406,             0.00406
                  62,            0.022559,            0.011708,           0.0019389,             0.97205,             0.96227,             0.98522,             0.83213,            0.015044,           0.0039029,          0.00025981,            0.003961,            0.003961,            0.003961
                  63,             0.02267,            0.011639,           0.0017636,             0.97624,             0.95774,             0.98522,              0.8337,            0.014997,            0.003892,          0.00025303,            0.003862,            0.003862,            0.003862
                  64,             0.02274,            0.011664,           0.0016068,             0.97335,             0.95984,             0.98522,             0.83232,            0.014953,           0.0038863,          0.00025189,            0.003763,            0.003763,            0.003763
                  65,            0.022388,            0.011567,           0.0016993,             0.97211,             0.96014,             0.98494,             0.83332,            0.014895,           0.0038813,          0.00024733,            0.003664,            0.003664,            0.003664
                  66,            0.022071,            0.011358,           0.0016259,             0.97025,             0.96166,             0.98474,             0.83359,            0.014868,           0.0038761,          0.00024381,            0.003565,            0.003565,            0.003565
                  67,            0.022255,            0.011436,           0.0015929,              0.9683,             0.96431,              0.9851,              0.8337,            0.014851,           0.0038714,          0.00024391,            0.003466,            0.003466,            0.003466
                  68,            0.022032,             0.01135,           0.0014602,             0.96851,             0.96458,             0.98509,             0.83571,            0.014831,           0.0038676,          0.00024375,            0.003367,            0.003367,            0.003367
                  69,              0.0221,            0.011369,           0.0016212,             0.96695,             0.96711,             0.98519,             0.83618,            0.014804,           0.0038606,          0.00024494,            0.003268,            0.003268,            0.003268
                  70,            0.021735,            0.011315,           0.0015756,             0.96709,              0.9667,             0.98571,             0.83739,            0.014774,           0.0038562,          0.00024408,            0.003169,            0.003169,            0.003169
                  71,            0.021691,              0.0112,           0.0016234,             0.96908,             0.96352,             0.98571,             0.83809,            0.014756,           0.0038495,          0.00024356,             0.00307,             0.00307,             0.00307
                  72,            0.021448,            0.011062,           0.0014424,             0.97032,             0.96293,             0.98571,             0.83878,            0.014742,           0.0038455,          0.00024682,            0.002971,            0.002971,            0.002971
                  73,            0.021805,            0.011078,           0.0016033,               0.972,             0.96156,              0.9859,             0.84036,            0.014716,           0.0038389,          0.00024993,            0.002872,            0.002872,            0.002872
                  74,            0.021142,              0.0111,           0.0013318,             0.97307,             0.96041,             0.98577,                0.84,            0.014697,           0.0038326,          0.00025041,            0.002773,            0.002773,            0.002773
                  75,            0.021157,            0.010983,           0.0012474,             0.97235,             0.96113,             0.98579,             0.84051,            0.014684,           0.0038268,          0.00024735,            0.002674,            0.002674,            0.002674
                  76,            0.021012,            0.010995,           0.0013757,             0.96151,             0.97041,              0.9859,             0.84081,            0.014674,           0.0038215,          0.00024564,            0.002575,            0.002575,            0.002575
                  77,            0.020824,            0.010697,           0.0012816,              0.9678,             0.96403,             0.98585,             0.84148,            0.014664,            0.003814,          0.00024605,            0.002476,            0.002476,            0.002476
                  78,            0.020912,            0.010921,           0.0013021,             0.96233,             0.97144,             0.98591,             0.84168,            0.014657,           0.0038085,          0.00024602,            0.002377,            0.002377,            0.002377
                  79,            0.020648,            0.010727,           0.0012706,             0.96241,             0.97173,             0.98596,             0.84141,            0.014645,           0.0038038,          0.00024561,            0.002278,            0.002278,            0.002278
                  80,            0.020627,             0.01081,           0.0011421,             0.96257,             0.97191,             0.98556,             0.84216,            0.014631,            0.003799,          0.00024598,            0.002179,            0.002179,            0.002179
                  81,            0.020208,             0.01074,           0.0012135,             0.96217,             0.97241,             0.98558,             0.84302,            0.014618,           0.0037949,          0.00024583,             0.00208,             0.00208,             0.00208
                  82,             0.02052,            0.010765,           0.0011847,             0.96206,             0.97267,             0.98567,             0.84251,            0.014609,           0.0037902,          0.00024503,            0.001981,            0.001981,            0.001981
                  83,            0.020127,            0.010649,           0.0011868,             0.96183,             0.97265,             0.98567,              0.8428,              0.0146,           0.0037878,          0.00024364,            0.001882,            0.001882,            0.001882
                  84,            0.020038,            0.010656,           0.0010326,             0.96397,              0.9703,             0.98542,             0.84375,            0.014588,           0.0037834,          0.00024232,            0.001783,            0.001783,            0.001783
                  85,            0.020012,            0.010515,          0.00099968,             0.96296,               0.974,             0.98561,             0.84483,            0.014576,           0.0037794,          0.00024213,            0.001684,            0.001684,            0.001684
                  86,            0.019531,            0.010358,          0.00094071,             0.96243,              0.9736,             0.98557,             0.84492,             0.01456,           0.0037753,          0.00024261,            0.001585,            0.001585,            0.001585
                  87,            0.019396,            0.010316,          0.00097861,             0.96214,             0.97452,             0.98556,             0.84613,             0.01455,           0.0037705,           0.0002424,            0.001486,            0.001486,            0.001486
                  88,            0.019289,            0.010433,           0.0010788,             0.96219,             0.97417,              0.9857,             0.84546,            0.014546,           0.0037663,          0.00024152,            0.001387,            0.001387,            0.001387
                  89,            0.019433,            0.010368,          0.00089899,             0.96203,             0.97441,             0.98575,             0.84596,             0.01454,           0.0037624,          0.00024111,            0.001288,            0.001288,            0.001288
                  90,            0.019086,            0.010182,          0.00090718,             0.96436,             0.97097,             0.98586,             0.84681,            0.014532,           0.0037583,          0.00024093,            0.001189,            0.001189,            0.001189
                  91,            0.019062,            0.010342,          0.00084861,             0.96476,             0.97179,              0.9859,             0.84904,            0.014523,           0.0037544,          0.00024105,             0.00109,             0.00109,             0.00109
                  92,            0.018723,             0.01011,          0.00098869,              0.9642,             0.97235,              0.9859,             0.84941,            0.014509,           0.0037504,          0.00024027,            0.000991,            0.000991,            0.000991
                  93,            0.018935,            0.010268,          0.00085267,             0.96434,             0.97145,             0.98591,              0.8499,            0.014498,           0.0037471,          0.00024039,            0.000892,            0.000892,            0.000892
                  94,            0.018566,            0.010023,          0.00086269,             0.96457,             0.97184,             0.98599,             0.85015,             0.01449,           0.0037432,          0.00023999,            0.000793,            0.000793,            0.000793
                  95,            0.018192,           0.0098989,          0.00083467,             0.96402,             0.97179,             0.98598,             0.85045,            0.014481,           0.0037402,          0.00023969,            0.000694,            0.000694,            0.000694
                  96,            0.018249,           0.0098879,           0.0008028,             0.96417,             0.97135,             0.98597,             0.85088,            0.014475,           0.0037362,           0.0002394,            0.000595,            0.000595,            0.000595
                  97,            0.018287,            0.009891,          0.00079298,             0.96366,             0.97187,             0.98598,              0.8511,            0.014462,           0.0037327,          0.00023931,            0.000496,            0.000496,            0.000496
                  98,             0.01791,           0.0098323,          0.00082926,             0.96504,             0.97104,             0.98603,             0.85143,            0.014456,           0.0037285,          0.00023936,            0.000397,            0.000397,            0.000397
                  99,            0.017997,            0.009804,          0.00070738,             0.96551,             0.97137,             0.98606,             0.85202,            0.014446,           0.0037251,          0.00023926,            0.000298,            0.000298,            0.000298
