                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                0.62139,                0.48982,                 1.1275,                0.98189,                0.95444,                0.98195,                0.88857,                0.54427,                0.32055,                 1.0275,               0.003367,               0.003367,               0.003367
                     70,                0.61779,                0.48359,                 1.1253,                0.98178,                0.95566,                0.98215,                0.88773,                0.54287,                  0.319,                 1.0263,               0.003268,               0.003268,               0.003268
                     71,                0.61722,                0.47967,                 1.1227,                0.98132,                0.95543,                0.98227,                0.88836,                0.54147,                0.31669,                 1.0252,               0.003169,               0.003169,               0.003169
                     72,                0.60684,                0.46956,                 1.1209,                0.98196,                  0.955,                0.98221,                0.88871,                0.54016,                0.31593,                 1.0239,                0.00307,                0.00307,                0.00307
                     73,                0.60322,                0.47028,                 1.1153,                0.98371,                0.95484,                0.98209,                0.88804,                0.53962,                0.31454,                 1.0232,               0.002971,               0.002971,               0.002971
                     74,                0.60636,                 0.4746,                 1.1162,                0.98362,                0.95445,                0.98197,                0.88799,                0.53915,                0.31386,                 1.0225,               0.002872,               0.002872,               0.002872
                     75,                0.59824,                0.46286,                 1.1109,                0.98305,                0.95617,                0.98206,                0.88881,                 0.5382,                  0.313,                 1.0217,               0.002773,               0.002773,               0.002773
                     76,                0.59683,                0.46162,                   1.11,                0.98312,                0.95604,                0.98203,                0.88856,                0.53757,                0.31229,                  1.021,               0.002674,               0.002674,               0.002674
                     77,                0.59564,                0.45973,                 1.1131,                0.98374,                0.95569,                0.98265,                 0.8891,                 0.5368,                0.31147,                 1.0202,               0.002575,               0.002575,               0.002575
                     78,                 0.5852,                0.45246,                 1.1051,                0.98456,                0.95551,                0.98292,                 0.8906,                0.53596,                0.31096,                 1.0194,               0.002476,               0.002476,               0.002476
                     79,                0.58764,                0.44886,                 1.1074,                0.98258,                0.95725,                0.98266,                0.89077,                 0.5348,                0.31047,                 1.0188,               0.002377,               0.002377,               0.002377
                     80,                 0.5831,                0.44117,                 1.1043,                0.98211,                0.95785,                0.98283,                0.89087,                0.53388,                0.31002,                 1.0176,               0.002278,               0.002278,               0.002278
                     81,                0.57704,                0.43695,                  1.098,                0.98185,                0.95841,                 0.9832,                0.89129,                 0.5332,                0.30921,                 1.0169,               0.002179,               0.002179,               0.002179
                     82,                0.57837,                0.43959,                 1.1003,                0.98151,                0.95839,                 0.9832,                0.89191,                0.53292,                0.30864,                 1.0163,                0.00208,                0.00208,                0.00208
                     83,                0.57475,                0.43357,                 1.0946,                0.98064,                0.95714,                0.98308,                0.89239,                0.53234,                0.30839,                 1.0157,               0.001981,               0.001981,               0.001981
                     84,                0.56536,                0.42982,                 1.0902,                0.98135,                0.95665,                0.98317,                0.89303,                0.53104,                0.30784,                 1.0132,               0.001882,               0.001882,               0.001882
                     85,                0.56643,                0.42824,                 1.0905,                0.98207,                0.95653,                0.98346,                 0.8931,                0.53065,                0.30738,                 1.0128,               0.001783,               0.001783,               0.001783
                     86,                0.56098,                0.42233,                 1.0868,                  0.982,                0.95641,                0.98359,                0.89316,                0.53034,                0.30688,                 1.0125,               0.001684,               0.001684,               0.001684
                     87,                0.56324,                0.42481,                 1.0874,                0.98326,                0.95612,                0.98369,                0.89301,                0.53019,                 0.3062,                 1.0122,               0.001585,               0.001585,               0.001585
                     88,                0.55611,                0.41854,                 1.0849,                 0.9826,                0.95752,                0.98402,                0.89347,                0.52986,                0.30564,                 1.0118,               0.001486,               0.001486,               0.001486
                     89,                0.54985,                0.40912,                 1.0775,                0.98222,                0.95781,                 0.9841,                0.89421,                0.52935,                 0.3051,                 1.0114,               0.001387,               0.001387,               0.001387
                     90,                0.54931,                0.40891,                 1.0789,                0.98008,                0.96074,                0.98415,                0.89453,                0.52904,                0.30485,                 1.0108,               0.001288,               0.001288,               0.001288
                     91,                 0.4649,                0.29106,                 1.0249,                0.98023,                0.96094,                0.98417,                0.89453,                 0.5283,                0.30403,                 1.0101,               0.001189,               0.001189,               0.001189
                     92,                 0.4556,                0.27967,                 1.0185,                0.98269,                0.95857,                0.98425,                0.89485,                0.52769,                0.30294,                 1.0094,                0.00109,                0.00109,                0.00109
                     93,                0.44737,                 0.2746,                 1.0103,                0.98186,                0.96144,                0.98438,                0.89594,                0.52703,                0.30208,                  1.009,               0.000991,               0.000991,               0.000991
                     94,                0.43876,                0.27076,                 1.0034,                0.98441,                0.95937,                0.98448,                0.89624,                 0.5263,                0.30148,                 1.0084,               0.000892,               0.000892,               0.000892
                     95,                0.43268,                0.26375,                0.99934,                0.98419,                0.96024,                0.98452,                0.89688,                0.52559,                0.30119,                 1.0077,               0.000793,               0.000793,               0.000793
                     96,                0.42895,                0.26085,                0.99902,                0.98345,                0.96227,                0.98452,                0.89654,                0.52505,                0.30038,                  1.007,               0.000694,               0.000694,               0.000694
                     97,                0.42249,                 0.2564,                0.99471,                0.98389,                 0.9623,                0.98458,                0.89708,                0.52465,                0.29931,                 1.0066,               0.000595,               0.000595,               0.000595
                     98,                0.41817,                0.25355,                0.98765,                0.98436,                0.96229,                0.98456,                 0.8974,                0.52421,                0.29891,                 1.0061,               0.000496,               0.000496,               0.000496
                     99,                0.41598,                0.25059,                 0.9879,                0.98627,                 0.9615,                0.98466,                0.89767,                0.52345,                0.29848,                 1.0054,               0.000397,               0.000397,               0.000397
                    100,                0.41154,                0.24739,                0.98682,                0.98226,                0.96396,                0.98478,                0.89774,                0.52286,                 0.2976,                 1.0049,               0.000298,               0.000298,               0.000298
